Date : 2025-10-24 15:11:01
Directory : /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based
Total : 117 files,  20735 codes, 3585 comments, 2182 blanks, all 26502 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_transporter.py                                                     | Python   |         51 |          8 |         13 |         72 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/centroid_finder.py                                                        | Python   |         22 |          0 |         12 |         34 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/csv_writers.py                                                            | Python   |        456 |         38 |        121 |        615 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/cudf_wrappers.py                                                          | Python   |         94 |         30 |         58 |        182 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/cupy_functions.py                                                         | Python   |        144 |         28 |         69 |        241 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/custom_raw_kernel_cuda_cuspatial_one_to_one_p_in_p.py                     | Python   |      1,803 |        602 |        670 |      3,075 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/custom_raw_kernel_cuda_cuspatial_one_to_one_p_in_p_contains_deprecated.py | Python   |        392 |        131 |        161 |        684 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/custom_raw_kernel_cuda_nearest_neighbour.py                               | Python   |        186 |         61 |         52 |        299 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/dataframe_builders.py                                                     | Python   |      2,692 |        659 |      1,183 |      4,534 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/dose_lattice_helper_funcs.py                                              | Python   |         60 |         81 |         39 |        180 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/dosimetric_localizer.py                                                   | Python   |         47 |          6 |         19 |         72 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/fanova.py                                                                 | Python   |        962 |        357 |        304 |      1,623 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/fanova_mathfuncs.py                                                       | Python   |         60 |          0 |         27 |         87 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/kD_data_tree_class.py                                                     | Python   |         65 |          4 |         14 |         83 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/lattice_reconstruction_tools.py                                           | Python   |         85 |         63 |         41 |        189 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/loading_tools.py                                                          | Python   |         53 |          9 |         12 |         74 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/machina_learning.py                                                       | Python   |        116 |         44 |         37 |        197 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/math_funcs.py                                                             | Python   |        260 |         72 |         84 |        416 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/meshing_tools.py                                                          | Python   |        107 |         67 |         55 |        229 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/misc_tools.py                                                             | Python   |        822 |        277 |        396 |      1,495 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/mr_localizers.py                                                          | Python   |         84 |         81 |         40 |        205 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/my-lib/__init__.py                                                        | Python   |          0 |          0 |          1 |          1 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/nearest_neighbour_helpers_cupy_cuml.py                                    | Python   |        118 |         91 |         49 |        258 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/patient_sample_analyser.py                                                | Python   |          0 |          0 |          1 |          1 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/pca.py                                                                    | Python   |         32 |         26 |         18 |         76 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/plotting_funcs.py                                                         | Python   |      1,255 |        268 |        303 |      1,826 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/point_containment_tools.py                                                | Python   |        885 |        131 |        275 |      1,291 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/polygon_dilation_helpers.py                                               | Python   |        218 |         99 |         94 |        411 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/polygon_dilation_helpers_cupy.py                                          | Python   |        206 |        114 |         95 |        415 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/polygon_dilation_helpers_numpy.py                                         | Python   |        656 |        378 |        289 |      1,323 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/production_plots.py                                                       | Python   |      5,513 |      1,076 |      1,707 |      8,296 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/pysimplegui_demo.py                                                       | Python   |         67 |          3 |         13 |         83 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/ques_funcs.py                                                             | Python   |         46 |         13 |          7 |         66 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/relative_structure_centroid_calc.py                                       | Python   |         38 |          7 |         12 |         57 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/rich_preambles.py                                                         | Python   |        247 |        153 |         65 |        465 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/stopwatch_textual.py                                                      | Python   |         68 |         15 |         24 |        107 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/test_code.ipynb                                                           | JSON     |     57,343 |          0 |          1 |     57,344 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/test_textual.py                                                           | Python   |          9 |          0 |          3 |         12 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_file_writer.py                                                | Python   |        279 |         22 |         87 |        388 |
| /home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_processor.py                                                  | Python   |          2 |          0 |          1 |          3 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_sim_proof_of_conc.py                                  | Python   |        -53 |          0 |        -14 |        -67 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_toy_model_funcs.py                                    | Python   |        -60 |         -3 |        -15 |        -78 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/equi_dist_point_cyl_generator.py                         | Python   |        -65 |        -10 |        -19 |        -94 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/open3d_voxelization_test.py                              | Python   |        -13 |         -1 |         -2 |        -16 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/surface_reconstruction.py                                | Python   |          0 |        -34 |         -7 |        -41 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_book.ipynb                                          | JSON     |     -2,388 |          0 |         -1 |     -2,389 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_delauney_triangulation.py                           | Python   |        -60 |        -19 |        -19 |        -98 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_write.py                                            | Python   |        -19 |          0 |         -7 |        -26 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/MC_prepper_funcs.py                                           | Python   |       -161 |        -62 |       -104 |       -327 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_MR.py                                            | Python   |       -139 |        -32 |        -61 |       -232 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_convex.py                                        | Python   |     -1,594 |     -1,769 |       -813 |     -4,176 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Stopwatch_textual.css                                         | CSS      |        -26 |          0 |         -5 |        -31 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/advanced_guidance_map_creator.py                              | Python   |     -1,523 |       -637 |       -527 |     -2,687 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/anatomy_reconstructor_tools.py                                | Python   |       -345 |        -31 |        -51 |       -427 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/baysian_inference_demo.py                                     | Python   |        -49 |         -8 |        -15 |        -72 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_creator.py                                             | Python   |       -308 |       -125 |       -157 |       -590 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_convex_main.py                            | Python   |     -6,016 |     -1,756 |     -2,219 |     -9,991 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_prototyping.py                            | Python   |       -250 |       -157 |       -106 |       -513 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_optimizer.py                                           | Python   |       -391 |       -127 |       -171 |       -689 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_transporter.py                                         | Python   |        -51 |         -8 |        -13 |        -72 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/centroid_finder.py                                            | Python   |        -22 |          0 |        -12 |        -34 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/csv_writers.py                                                | Python   |       -456 |        -37 |       -121 |       -614 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/cudf_wrappers.py                                              | Python   |        -94 |        -30 |        -58 |       -182 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/cupy_functions.py                                             | Python   |       -133 |        -28 |        -68 |       -229 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/dataframe_builders.py                                         | Python   |     -2,552 |       -623 |     -1,097 |     -4,272 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/dose_lattice_helper_funcs.py                                  | Python   |        -60 |        -81 |        -39 |       -180 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/dosimetric_localizer.py                                       | Python   |        -47 |         -6 |        -19 |        -72 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/fanova.py                                                     | Python   |       -962 |       -357 |       -304 |     -1,623 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/fanova_mathfuncs.py                                           | Python   |        -60 |          0 |        -27 |        -87 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/kD_data_tree_class.py                                         | Python   |        -65 |         -4 |        -14 |        -83 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/lattice_reconstruction_tools.py                               | Python   |        -81 |        -60 |        -40 |       -181 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/loading_tools.py                                              | Python   |        -53 |         -9 |        -12 |        -74 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/machina_learning.py                                           | Python   |       -116 |        -44 |        -37 |       -197 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/math_funcs.py                                                 | Python   |       -260 |        -72 |        -84 |       -416 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/meshing_tools.py                                              | Python   |       -107 |        -67 |        -55 |       -229 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/misc_tools.py                                                 | Python   |       -660 |       -234 |       -337 |     -1,231 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/mr_localizers.py                                              | Python   |        -46 |         -6 |        -17 |        -69 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/my-lib/__init__.py                                            | Python   |          0 |          0 |         -1 |         -1 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/patient_sample_analyser.py                                    | Python   |          0 |          0 |         -1 |         -1 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/pca.py                                                        | Python   |        -13 |         -2 |         -4 |        -19 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/plotting_funcs.py                                             | Python   |       -781 |        -76 |       -230 |     -1,087 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/point_containment_tools.py                                    | Python   |       -885 |       -131 |       -275 |     -1,291 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/production_plots.py                                           | Python   |     -5,493 |     -1,060 |     -1,710 |     -8,263 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/pysimplegui_demo.py                                           | Python   |        -67 |         -3 |        -13 |        -83 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/ques_funcs.py                                                 | Python   |        -46 |        -13 |         -7 |        -66 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/rich_preambles.py                                             | Python   |       -247 |       -153 |        -65 |       -465 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/stopwatch_textual.py                                          | Python   |        -68 |        -15 |        -24 |       -107 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/test_code.ipynb                                               | JSON     |    -42,316 |          0 |         -1 |    -42,317 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/test_textual.py                                               | Python   |         -9 |          0 |         -3 |        -12 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_file_writer.py                                    | Python   |       -286 |        -22 |        -85 |       -393 |
| /home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_processor.py                                      | Python   |         -2 |          0 |         -1 |         -3 |
| Total                                                                                                                                                                       |          |     20,735 |      3,585 |      2,182 |     26,502 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
